iter	Logloss
298	0.5681193838
299	0.567870002
300	0.5676438018
301	0.5673543233
302	0.5671244084
303	0.5669666542
304	0.5666899256
305	0.5664449036
306	0.5663433902
307	0.5660926993
308	0.5658774308
309	0.5657075336
310	0.5654885743
311	0.5653740431
312	0.5652130415
313	0.5649142886
314	0.5647310878
315	0.5645947928
316	0.5644369951
317	0.5642533229
318	0.5639750925
319	0.5637289607
320	0.5634769998
321	0.5632693236
322	0.5630901246
323	0.5629001388
324	0.5627892681
325	0.5625769123
326	0.5623258365
327	0.5620577086
328	0.5617735728
329	0.561557664
330	0.5613648836
331	0.5611808084
332	0.5609652714
333	0.5607609015
334	0.5605431004
335	0.5604513858
336	0.5602771803
337	0.5599010015
338	0.5597429829
339	0.5595721487
340	0.5593465704
341	0.5592014808
342	0.5589349476
343	0.5587356678
344	0.5586171679
345	0.5584348759
346	0.5582188293
347	0.5579658711
348	0.5577255456
349	0.5575851042
350	0.5573524408
351	0.5570851125
352	0.5568995128
353	0.5567389041
354	0.5565726526
355	0.5564861135
356	0.5563132837
357	0.556061909
358	0.5558587274
359	0.5556676486
360	0.5555521835
361	0.5554173542
362	0.5552413429
363	0.5550594241
364	0.5548437309
365	0.5546938841
366	0.5545466695
367	0.5541918208
368	0.553884173
369	0.5537676281
370	0.55357143
371	0.5534185473
372	0.5532207028
373	0.5529079858
374	0.5527343245
375	0.5526362613
376	0.5524470981
377	0.5522738323
378	0.5520280689
379	0.5518392219
380	0.5516353804
381	0.5514752243
382	0.5512675085
383	0.5509977626
384	0.5507725703
385	0.5506759263
386	0.5504698904
387	0.5503138728
388	0.5501327964
389	0.5499668055
390	0.5497837732
391	0.5495617182
392	0.5493499997
393	0.5491545722
394	0.5489522158
395	0.5488111
396	0.5486295149
397	0.5483944132
398	0.548257927
399	0.5480679161
400	0.5478056524
401	0.5477046261
402	0.5476013374
403	0.5474737223
404	0.5472340748
405	0.5470536537
406	0.5469608493
407	0.5468063147
408	0.546620632
409	0.5464208702
410	0.5461466295
411	0.5459708421
412	0.5457700028
413	0.5456598074
414	0.5455435555
415	0.545376565
416	0.5452565124
417	0.5451131084
418	0.5449384974
419	0.544788348
420	0.5445454815
421	0.5443873376
422	0.5442195927
423	0.5440578398
424	0.5438976148
425	0.5436392174
426	0.5435026875
427	0.543310804
428	0.5430493781
429	0.5429010803
430	0.5427018837
431	0.5425524342
432	0.5422113133
433	0.5420564643
434	0.5418771436
435	0.5417215401
436	0.5416177903
437	0.5413348849
438	0.5411034851
439	0.5409474688
440	0.5407726593
441	0.5407392252
442	0.5405383071
443	0.5404058141
444	0.5402224888
445	0.540039465
446	0.5399339072
447	0.5397670635
448	0.5395123887
449	0.5392987136
450	0.5391789897
451	0.5390768577
452	0.5388742493
453	0.5386762726
454	0.5384390594
455	0.5382370365
456	0.5380936376
457	0.5378651327
458	0.5376274988
459	0.5374330919
460	0.5372105422
461	0.5370847179
462	0.5370011429
463	0.5368980501
464	0.5366742562
465	0.5365640231
466	0.5364619818
467	0.5362512434
468	0.5360449546
469	0.5358945601
470	0.5357790847
471	0.535657377
472	0.5355531639
473	0.5353586809
474	0.5351569202
475	0.5350009407
476	0.5348559741
477	0.5346457668
478	0.5344989877
479	0.5342786307
480	0.5341126255
481	0.5339770465
482	0.5337785609
483	0.5336686119
484	0.5334959805
485	0.5332881749
486	0.5331466771
487	0.5330076322
488	0.5328770571
489	0.5326846899
490	0.5325103652
491	0.5324068353
492	0.5323072666
493	0.5321229692
494	0.5320029224
495	0.5318678265
496	0.5317200781
497	0.5315289785
498	0.5313542036
499	0.5312593795
