iter	Logloss
0	0.6921337113
1	0.6911588308
2	0.690135728
3	0.6893230572
4	0.6881973759
5	0.6873029967
6	0.6862609161
7	0.6851443437
8	0.6842585087
9	0.6831056586
10	0.6821094383
11	0.6813844893
12	0.6804248218
13	0.6796343952
14	0.6786963859
15	0.6783389044
16	0.6774868549
17	0.6768462961
18	0.6760071057
19	0.6749949703
20	0.6741853657
21	0.6732687964
22	0.6725323155
23	0.6717280937
24	0.6707884933
25	0.6698695421
26	0.6689259144
27	0.6679457328
28	0.6673217916
29	0.6664119764
30	0.6654630186
31	0.6644873459
32	0.6639414192
33	0.663271529
34	0.6625251402
35	0.6617355216
36	0.6609877852
37	0.6602766461
38	0.6597707812
39	0.6589963072
40	0.6583835284
41	0.6577345522
42	0.6570328768
43	0.6561935824
44	0.6554868197
45	0.6548475496
46	0.6540419964
47	0.6533371688
48	0.6524946479
49	0.6515885095
50	0.6510541118
51	0.6502784459
52	0.6497115567
53	0.6491970378
54	0.6484731894
55	0.6476281225
56	0.6470421432
57	0.6465188007
58	0.6460112427
59	0.6454326825
60	0.6447862002
61	0.6441801928
62	0.643581964
63	0.6433363544
64	0.6427609331
65	0.6421697462
66	0.6415311753
67	0.6408022332
68	0.6403504929
69	0.6398587412
70	0.6394101685
71	0.6388211657
72	0.6384944137
73	0.6378349649
74	0.6374103242
75	0.6369907626
76	0.6364655294
77	0.635900025
78	0.6355781184
79	0.6349775776
80	0.6345212382
81	0.6341380277
82	0.6334816287
83	0.6330363001
84	0.6325631202
85	0.63203398
86	0.6315747009
87	0.6311562222
88	0.6307198883
89	0.6300711412
90	0.6296965102
91	0.629239621
92	0.6286923402
93	0.6283416914
94	0.6280382579
95	0.6277514652
96	0.6272754738
97	0.6268531959
98	0.6265109507
99	0.6260490993
100	0.6255228125
101	0.6250988982
102	0.624622433
103	0.6241558875
104	0.6237718805
105	0.6234293088
106	0.6230915605
107	0.6226878707
108	0.6223020415
109	0.6220203661
110	0.6215926633
111	0.621158908
112	0.620882723
113	0.6206832503
114	0.6204073742
115	0.6200375218
116	0.6195274924
117	0.6190567501
118	0.6188374475
119	0.6182917729
120	0.6178233682
121	0.6173234688
122	0.6167521949
123	0.6163262347
124	0.6161568286
125	0.6158105011
126	0.6153996097
127	0.6148334703
128	0.6144429031
129	0.6139156399
130	0.6135208092
131	0.6129936683
132	0.6127057599
133	0.6122348346
134	0.6118317889
135	0.6115596478
136	0.6111695553
137	0.6108276437
138	0.6105210202
139	0.6101433614
140	0.6097932403
141	0.6092408951
142	0.6088303252
143	0.6085705548
144	0.6082276218
145	0.6079528281
146	0.6076174567
147	0.6073638059
148	0.6071330098
149	0.6068269968
150	0.6064298397
151	0.6060769389
152	0.6057517114
153	0.6054989412
154	0.605156773
155	0.6048835366
156	0.6045729988
157	0.6043114852
158	0.6040315958
159	0.6038551581
160	0.6034796149
161	0.6031913748
162	0.602928934
163	0.6026283129
164	0.6023894538
165	0.6020654934
166	0.6018490219
167	0.6016216122
168	0.6013770968
169	0.6010730907
170	0.6008265724
171	0.6003583382
172	0.6000258476
173	0.5996792407
174	0.599254954
175	0.5989414735
176	0.5986589606
177	0.5982135552
178	0.5979085334
179	0.5976169743
180	0.5973211229
181	0.59697926
182	0.5966887648
183	0.5963762262
184	0.5959493385
185	0.5955758877
186	0.5952691952
187	0.5947537914
188	0.5945415391
189	0.5943000947
190	0.5940053159
191	0.5936996605
192	0.5934926192
193	0.5933103102
194	0.5931372598
195	0.5927977067
196	0.592521329
197	0.5923522382
198	0.5922036826
199	0.591878342
200	0.5916999132
201	0.5914974647
202	0.5911627784
203	0.5909185157
204	0.5907586911
205	0.5904822306
206	0.5901273956
207	0.5898762187
208	0.5894967466
209	0.5893314819
210	0.5890288854
211	0.5889013768
212	0.5885736427
213	0.5883144039
214	0.5879357199
215	0.5876416258
216	0.5872734414
217	0.5869312435
218	0.5866830626
219	0.58633504
220	0.5860569369
221	0.5857432349
222	0.5855484102
223	0.585354893
224	0.5851166284
225	0.5848351205
226	0.5846703956
227	0.5844127629
228	0.5841124717
229	0.5839351157
230	0.5836776886
231	0.5833864164
232	0.5830720868
233	0.5827055057
234	0.5824204143
235	0.5822551228
236	0.5820114162
237	0.5818227297
238	0.581625911
239	0.5813865459
240	0.5810462795
241	0.5809450745
242	0.5807339167
243	0.5805585299
244	0.580428592
245	0.5801625921
246	0.5799364552
247	0.5797623353
248	0.5796406147
249	0.579421322
250	0.5791667785
251	0.5788483593
252	0.578531938
253	0.5782694518
254	0.5779520003
255	0.5777355909
256	0.5772747567
257	0.577103218
258	0.5769025318
259	0.5765988695
260	0.5763356527
261	0.5761207852
262	0.5758629573
263	0.5757319595
264	0.5754861785
265	0.5752946451
266	0.5750977827
267	0.5748615841
268	0.574604061
269	0.5743855103
270	0.5741641461
271	0.5740068639
272	0.5737378088
273	0.5735003402
274	0.5733633122
275	0.5732135971
276	0.5730348757
277	0.5728275001
278	0.5726468425
279	0.5723426387
280	0.5720318177
281	0.5718109193
282	0.5715548279
283	0.5713361977
284	0.5711009351
285	0.571000261
286	0.5708032327
287	0.5705558757
288	0.5703371938
289	0.570082048
290	0.5698541964
291	0.5696083886
292	0.5694601388
293	0.5692323234
294	0.5690060902
295	0.5687592726
296	0.5685006305
297	0.568310576
